ID;exp;body.part;cool.rate;mass;mass.cat;horn.ratio
1;passive.heating;cephal.horn;-0.3747;23.79;high;0.954021675
1;passive.heating;thorax.horn;-0.1;23.79;high;0.954021675
1;passive.heating;scutellum;-0.2329;23.79;high;0.954021675
1;passive.heating;abdomen;-0.0839;23.79;high;0.954021675
2;passive.heating;cephal.horn;-0.1852;22.9;high;0.680224768
2;passive.heating;thorax.horn;-0.0521;22.9;high;0.680224768
2;passive.heating;scutellum;-0.0243;22.9;high;0.680224768
2;passive.heating;abdomen;-0.1726;22.9;high;0.680224768
3;passive.heating;cephal.horn;-0.3769;19.13;low;0.72696315
3;passive.heating;thorax.horn;-0.0227;19.13;low;0.72696315
3;passive.heating;scutellum;-0.0412;19.13;low;0.72696315
3;passive.heating;abdomen;-0.1996;19.13;low;0.72696315
4;passive.heating;cephal.horn;-0.3623;23.32;high;0.654856175
4;passive.heating;thorax.horn;-0.0675;23.32;high;0.654856175
4;passive.heating;scutellum;-0.0229;23.32;high;0.654856175
4;passive.heating;abdomen;-0.3104;23.32;high;0.654856175
5;passive.heating;cephal.horn;-1.2905;13.74;low;0.422324117
5;passive.heating;thorax.horn;-0.1514;13.74;low;0.422324117
5;passive.heating;scutellum;-0.0918;13.74;low;0.422324117
5;passive.heating;abdomen;-0.1208;13.74;low;0.422324117
6;passive.heating;cephal.horn;-0.2828;22.86;high;0.794893669
6;passive.heating;thorax.horn;-0.0505;22.86;high;0.794893669
6;passive.heating;scutellum;-0.028;22.86;high;0.794893669
6;passive.heating;abdomen;-0.4571;22.86;high;0.794893669
1;active.heating;cephal.horn;0.5179;23.79;high;0.954021675
1;active.heating;thorax.horn;-0.0185;23.79;high;0.954021675
1;active.heating;scutellum;-0.081;23.79;high;0.954021675
1;active.heating;abdomen;0.0219;23.79;high;0.954021675
2;active.heating;cephal.horn;0.1067;22.9;high;0.680224768
2;active.heating;thorax.horn;0.0557;22.9;high;0.680224768
2;active.heating;scutellum;0.0015;22.9;high;0.680224768
2;active.heating;abdomen;0.176;22.9;high;0.680224768
3;active.heating;cephal.horn;-0.2728;19.13;low;0.72696315
3;active.heating;thorax.horn;-0.0294;19.13;low;0.72696315
3;active.heating;scutellum;-0.0736;19.13;low;0.72696315
3;active.heating;abdomen;0.4473;19.13;low;0.72696315
4;active.heating;cephal.horn;0.0368;23.32;high;0.654856175
4;active.heating;thorax.horn;-0.0083;23.32;high;0.654856175
4;active.heating;scutellum;-0.0604;23.32;high;0.654856175
4;active.heating;abdomen;0.0633;23.32;high;0.654856175
5;active.heating;cephal.horn;0.287;13.74;low;0.422324117
5;active.heating;thorax.horn;0.0855;13.74;low;0.422324117
5;active.heating;scutellum;0.0042;13.74;low;0.422324117
5;active.heating;abdomen;0.1044;13.74;low;0.422324117
6;active.heating;cephal.horn;0.1042;22.86;high;0.794893669
6;active.heating;thorax.horn;0.0328;22.86;high;0.794893669
6;active.heating;scutellum;-0.0569;22.86;high;0.794893669
6;active.heating;abdomen;0.0644;22.86;high;0.794893669
C1;control;cephal.horn;-1.061;22.86;high;0
C1;control;thorax.horn;-0.3569;22.86;high;0
C1;control;scutellum;-5.00E-14;22.86;high;0
C1;control;abdomen;-0.3344;22.86;high;0
C2;control;cephal.horn;-0.6196;22.86;high;0
C2;control;thorax.horn;-0.7033;22.86;high;0
C2;control;scutellum;-0.3986;22.86;high;0
C2;control;abdomen;-0.205;22.86;high;0
C3;control;cephal.horn;-0.5532;22.86;high;0
C3;control;thorax.horn;-0.9675;22.86;high;0
C3;control;scutellum;-0.9305;22.86;high;0
C3;control;abdomen;-1.021;22.86;high;0